cod_ibge,nome,variavel,populacao_estimada,integrado_snt,p_value,tau
3514908,Elias Fausto,Óbitos totais,18103,Não,0.36097025169604025,0.06711828901855554
3514924,Elisiário,Óbitos totais,3189,Não,0.555373943673402,-0.044122997828242076
3514957,Embaúba,Óbitos totais,2353,Não,0.5507451917408233,0.04500395524079097
3515004,Embu das Artes,Óbitos totais,259323,Sim,0.36334585660706453,0.06069166472947763
3515103,Embu-Guaçu,Óbitos totais,68805,Sim,0.8534065911268593,0.01312901710480837
3515129,Emilianópolis,Óbitos totais,3062,Não,NA,NA
3515152,Engenheiro Coelho,Óbitos totais,20139,Sim,0.7060512888252144,-0.027797397568924725
3515186,Espírito Santo do Pinhal,Óbitos totais,40681,Sim,0.3283663900406262,0.07102875579017218
3515194,Espírito Santo do Turvo,Óbitos totais,4217,Sim,0.9697981105647174,0.003072098761747266
3515202,Estrela d'Oeste,Óbitos totais,9655,Não,0.8946587039123935,-0.010097775396952708
3515301,Estrela do Norte,Óbitos totais,2749,Não,0.7726611099946352,0.021673463747992838
3515350,Euclides da Cunha Paulista,Óbitos totais,7928,Não,0.7476714095551511,-0.023969976501498135
3515400,Fartura,Óbitos totais,16984,Não,0.12540918026778547,-0.11284221004919548
3515509,Fernandópolis,Óbitos totais,73286,Sim,0.9981202850624339,3.2784681759373476e-4
3515608,Fernando Prestes,Óbitos totais,6066,Não,0.15945144478247075,0.10514107504128672
3515657,Fernão,Óbitos totais,1689,Não,0.30539461050311345,0.0770048895517433
3515707,Ferraz de Vasconcelos,Óbitos totais,185622,Sim,0.923538799824643,0.007041453441100113
3515806,Flora Rica,Óbitos totais,1492,Não,0.017020382967066594,-0.17784424907593957
3515905,Floreal,Óbitos totais,2756,Não,0.6877935940328028,-0.029995117180762136
3516002,Flórida Paulista,Óbitos totais,13171,Não,0.9939554633576776,-8.407543100270119e-4
3516101,Florínia,Óbitos totais,3987,Sim,0.8777027162780547,0.011869902523515927
3516200,Franca,Óbitos totais,364331,Sim,0.17821988664335692,-0.08808570890400817
3516309,Francisco Morato,Óbitos totais,171107,Sim,0.17507881414952833,0.09727453783638745
3516408,Franco da Rocha,Óbitos totais,149786,Sim,0.5772232382235489,-0.03749460189639656
3516507,Gabriel Monteiro,Óbitos totais,2811,Não,0.9027373311550755,0.009643704694455208
3516606,Gália,Óbitos totais,6435,Não,0.37043646114686596,0.06657748672977072
3516705,Garça,Óbitos totais,43115,Sim,0.4312309062707653,0.0574183200504483
3516804,Gastão Vidigal,Óbitos totais,3235,Não,0.23424518452788726,-0.08922382501148217
3516853,Gavião Peixoto,Óbitos totais,4797,Sim,0.6662325085387231,-0.0319522670507212
3516903,General Salgado,Óbitos totais,10449,Não,0.23080549828538893,0.08772056300142878
3517000,Getulina,Óbitos totais,10355,Não,0.030933313107540744,-0.159612507595861
3517109,Glicério,Óbitos totais,4173,Sim,0.7729861686529517,-0.021790447154886438
3517208,Guaiçara,Óbitos totais,11459,Não,0.8767309471150828,-0.011738680468052163
3517307,Guaimbê,Óbitos totais,5606,Não,0.10415147625367711,-0.12057931797537647
3517406,Guaíra,Óbitos totais,40424,Sim,0.6689879036553561,0.030997605911079577
3517505,Guapiaçu,Óbitos totais,22316,Sim,0.4654292727461693,0.05369423935341967
3517604,Guapiara,Óbitos totais,17256,Sim,0.026920802811088416,0.16283902339971681
3517703,Guará,Óbitos totais,18790,Sim,0.4434413463758132,0.05656258998711791
3517802,Guaraçaí,Óbitos totais,7486,Sim,0.11712794605700545,-0.11717057516387933
3517901,Guaraci,Óbitos totais,10542,Não,0.27779954710591026,-0.08065315876100886
3518008,Guarani d'Oeste,Óbitos totais,1999,Não,0.7546528410307146,0.024042894723901316
3518107,Guarantã,Óbitos totais,6531,Não,0.20693907504440356,0.09340438036089993
3518206,Guararapes,Óbitos totais,31872,Sim,0.6234318274040729,-0.03623317405040897
3518305,Guararema,Óbitos totais,32436,Sim,0.8073668470357648,-0.017346647304315625
3518404,Guaratinguetá,Óbitos totais,121710,Sim,0.00033915241771142947,-0.2415913896804943
3518503,Guareí,Óbitos totais,15268,Sim,0.7405056916248258,0.02468268020255545
3518602,Guariba,Óbitos totais,38609,Sim,0.6317348304602697,-0.035032176202594564
3518701,Guarujá,Óbitos totais,294973,Sim,8.228369958215508e-4,-0.2204509126850569
3518800,Guarulhos,Óbitos totais,1345364,Sim,0.059116153711258675,0.11982096821862045
3518859,Guatapará,Óbitos totais,7462,Não,0.16484504769493985,-0.10187789933816248
3518909,Guzolândia,Óbitos totais,4276,Não,0.027255533612551883,-0.16423248882265276
3519006,Herculândia,Óbitos totais,9302,Não,0.8162939752387357,-0.01730462683226462
3519055,Holambra,Óbitos totais,15596,Sim,0.10271301116103725,0.1210341177578214
3519071,Hortolândia,Óbitos totais,247331,Sim,0.1732769321457112,-0.09161562347205633
